supplier_id,supplier_name,region,country,supplier_type,risk_level,financial_health_score,delivery_performance,quality_rating,contract_value_usd,sustainability_score,lead_time_days,capacity_utilization,years_in_partnership,compliance_violations,political_risk_index
SUP_00001,Advanced Solutions,Latin America,Japan,Raw Material,Medium,77.61285686999676,83.59725698983375,4.396233848167047,14262803.483089203,44.86769244139146,18.18522057530138,82.40770216936933,14,0,4.525157638414533
SUP_00002,Strategic Group,Middle East,Norway,Component,High,41.394173234516614,78.58558532289054,3.6219460427660666,40970567.31316311,96.29251607706169,170.6617772626167,70.15865593248888,22,1,3.1918771012384095
SUP_00003,Elite Corp,Asia-Pacific,Norway,Service Provider,High,77.95257886251973,87.23964190352393,3.1993278441535518,4040689.705178475,82.68981939547439,166.09366546693482,69.20363168160158,22,3,2.833589969623799
SUP_00004,Advanced Supply Co,Middle East,Netherlands,Service Provider,Medium,57.38557213508338,86.053981216672,3.544934368066192,42781523.43706308,72.7939436207248,124.77572067677978,84.45412123100567,22,4,8.608212607401725
SUP_00005,Advanced Partners,Middle East,China,Service Provider,Medium,43.06574694730929,96.61824389881758,4.663570600370319,4640209.799251458,61.41184712140841,86.88119242310437,80.91310109243715,10,3,4.216540068218385
SUP_00006,Innovative Solutions,Europe,Australia,Raw Material,High,73.53970188514643,97.32012906698574,4.960941595566142,41730988.033840224,33.38940245813211,21.250407765116222,60.30791211818851,15,0,3.3907634180391275
SUP_00007,Global Industries,Asia-Pacific,Singapore,Component,Medium,53.24420988402453,84.20561738417501,3.987694029483123,18071380.633882396,98.27653377474272,143.38092075105834,93.20261488783117,6,3,6.035105414260137
SUP_00008,Elite Group,Asia-Pacific,India,Distributor,Low,61.2743983128534,86.80171063245575,3.019400709846084,30629842.70969793,50.0032558592168,18.208635024205066,88.16489416929738,9,3,2.1940157963738125
SUP_00009,Prime Partners,Asia-Pacific,Brazil,Distributor,High,44.431944675758245,96.5096699795072,3.280089624268458,7686711.426617509,28.554048195779586,17.00517235665049,86.47317158712414,10,0,2.2989349056807895
SUP_00010,Global Supply Co,Middle East,China,Raw Material,Medium,48.09397881022199,94.36098738588147,3.6441611506325318,3355127.650172783,59.503911657259685,99.04217242688942,62.75122630790636,23,3,5.202887308715046
SUP_00011,Elite Supply Co,Latin America,Italy,Service Provider,Low,56.3887479522714,75.08775147227158,4.157170697185899,10836113.290805748,89.91984092904666,33.02244203231204,74.48223400689966,17,4,4.092727286461841
SUP_00012,Innovative Group,Asia-Pacific,Brazil,Manufacturer,Medium,44.93677253080864,82.68142954040599,3.150187291610628,6436298.204539343,90.98328014218636,6.352796784561072,97.41529042931145,1,1,2.9498238392232445
SUP_00013,Superior Partners,Africa,Japan,Raw Material,Low,90.09544455774733,85.12258180646702,4.886714597419763,15654674.589097608,20.87727328451578,79.04485042426259,94.50356965365455,14,3,0.539511322741022
SUP_00014,Strategic Solutions,Middle East,Sweden,Raw Material,Low,40.33258737511881,80.51319080839757,3.7301673465688014,25743443.163225457,90.90365958011198,29.01301553176154,71.42171751478134,4,2,5.207742386385216
SUP_00015,Premier Enterprises,Europe,South Africa,Component,High,66.61231203753712,79.78971878150253,4.825168435849646,29458535.205072224,41.71873739998868,33.09019767412097,66.28235536396555,2,1,8.16609205601075
