shipment_id,supplier_id,origin_port,destination_port,product_category,transportation_mode,shipment_value_usd,weight_kg,volume_cbm,status,customs_clearance_hours,freight_cost_usd,carbon_footprint_kg,route_optimization_score,weather_delay_hours,temperature_controlled,customs_normalized,weather_normalized,route_risk_score
SHIP_000001,SUP_00453,PORT_039,PORT_008,Pharmaceuticals,Multimodal,4404170.081618406,24705.76882126184,270.85417895157923,Delivered,56.592091736243766,14128.980855915575,4517.96494754655,72.09243367526298,12.707719512059157,False,0.7798990733231195,0.26470721000478553,0.5223031416639525
SHIP_000002,SUP_00766,PORT_055,PORT_036,Pharmaceuticals,Air,4174209.366368254,5324.986662705319,44.75198559014235,Delivered,16.39847666166513,11676.984354830494,3426.841199057056,88.51366099105813,23.83807750701968,False,0.20563159166170736,0.4966405447924611,0.3511360682270842
SHIP_000003,SUP_00487,PORT_196,PORT_165,Food & Beverage,Sea,1008576.4843468722,45409.20356788131,58.05551039108221,In Transit,46.48370046070685,45706.22001356008,748.002831146443,69.5901951967945,34.6656842631213,False,0.6354751296027094,0.7222651782363491,0.6788701539195292
SHIP_000004,SUP_00668,PORT_125,PORT_015,Pharmaceuticals,Rail,2034775.7874028792,47489.11031182887,320.8327321610803,Delivered,26.574188110677447,10621.851799066852,877.1168751374336,67.45299143304264,9.74400376862948,True,0.35101737438104796,0.20294958495376686,0.27698347966740744
SHIP_000005,SUP_01498,PORT_045,PORT_034,Food & Beverage,Sea,4257536.807997135,20464.576417479235,181.2146567243637,Delivered,71.0468264503033,37167.10285026121,2394.753251895075,97.94810592301155,34.91291771476352,False,0.9864215293630799,0.7274170052428489,0.8569192673029644
SHIP_000006,SUP_01899,PORT_156,PORT_149,Textiles,Rail,2792532.275629888,39852.492374382,24.34706989823077,Delivered,62.95556991040259,22813.56871626576,4158.312344411547,73.41193627222745,41.18584749110028,False,0.8708174587159481,0.8581317156388152,0.8644745871773816
SHIP_000007,SUP_01685,PORT_184,PORT_009,Textiles,Air,3643635.057929543,3572.231615745673,294.07729135042365,Delivered,51.11405031074835,9963.621473886662,4550.865419586582,94.56902379803157,29.379245178325935,False,0.7016313920503838,0.612106866469231,0.6568691292598074
SHIP_000008,SUP_00830,PORT_101,PORT_040,Pharmaceuticals,Air,785031.4541297753,20335.143650144688,474.7031508617493,Delivered,21.56004464171912,42990.80872285384,50.66949834718096,84.3084374718803,5.594582675552633,False,0.27937764908475593,0.11648434529199005,0.19793099718837298
SHIP_000009,SUP_00791,PORT_157,PORT_026,Textiles,Multimodal,2372154.423029894,25599.51176047239,180.5645482841633,Delivered,68.66753470726238,10754.010195762494,3857.523571479196,91.35983662970376,12.307441425539606,False,0.9524273271775174,0.25636625354220427,0.6043967903598608
SHIP_000010,SUP_01941,PORT_029,PORT_150,Textiles,Multimodal,2558055.817552427,43577.03295923061,271.3054126672852,Delayed,20.405071433682178,38052.84976996779,2794.766081671038,73.86690859053873,31.696348703462665,False,0.26287593471208504,0.6603904479925355,0.4616331913523103
SHIP_000011,SUP_00971,PORT_069,PORT_141,Electronics,Air,478887.0237765495,5138.443520362152,481.0709432303694,Delayed,16.234984053793802,7081.924346015395,3990.466102089104,88.30054230634792,43.86691268465526,True,0.2032956861200358,0.9139994955795786,0.5586475908498072
SHIP_000012,SUP_00490,PORT_011,PORT_025,Pharmaceuticals,Sea,1627916.7613039797,20394.328652255565,124.71072479559936,Delivered,4.600208886487154,21567.00740500727,427.9234452506697,90.09506364432158,28.24967108244176,True,0.03706348673641348,0.5885689095529477,0.3128161981446806
SHIP_000013,SUP_00376,PORT_130,PORT_199,Pharmaceuticals,Sea,3671273.1032490814,25692.938562490715,406.3476007084251,In Transit,63.03743927136413,35750.90870430912,88.29880476458283,91.3065603776361,1.643650609418227,False,0.8719871696677343,0.034155200979380344,0.4530711853235573
SHIP_000014,SUP_00231,PORT_196,PORT_115,Automotive,Multimodal,854372.3177737666,33353.21288301981,135.7046860869748,In Transit,3.0321807783351336,15446.43199901533,2993.8088250351016,77.78683482300664,19.743414596429,False,0.01466023808182082,0.41131635089728763,0.21298829448955423
SHIP_000015,SUP_01936,PORT_138,PORT_091,Automotive,Sea,3108972.404936124,5249.889486085977,429.5199556910812,In Transit,13.80112091525545,28382.15589591575,1950.5697357580327,70.9546480717358,25.036766363142547,False,0.16852179348351698,0.5216187084687129,0.345070250976115
SHIP_000016,SUP_00702,PORT_103,PORT_143,Textiles,Sea,379240.91583899606,14139.149603593742,95.8174883961671,Delivered,38.25847601321922,25645.765745908277,870.2613231235413,97.58828236442176,22.145613087183712,False,0.5179569884553092,0.46137313317104034,0.4896650608131748
SHIP_000017,SUP_01249,PORT_108,PORT_045,Automotive,Sea,391408.2148044388,2342.1427252459284,100.61126111395902,Delivered,34.46995394982093,1360.710030101387,2449.9230882392694,68.23889435996917,34.83349424675184,False,0.46382836577408004,0.725761986616791,0.5947951761954355
SHIP_000018,SUP_00475,PORT_200,PORT_021,Electronics,Sea,3474979.867760379,7486.285846107338,13.981817398328715,Delivered,44.11265913926468,13078.946894919178,2182.8176559100384,61.10097808072448,8.0968459265312,True,0.6015988055633491,0.16862626746366483,0.38511253651350696
SHIP_000019,SUP_01601,PORT_119,PORT_089,Pharmaceuticals,Rail,4963028.488965087,24803.85341580834,83.95872839480366,Delayed,62.11042286688254,1238.8797380965057,1593.6670987312684,70.35223012218583,24.983352153426782,False,0.858742394967258,0.5205056682780888,0.6896240316226734
SHIP_000020,SUP_01644,PORT_155,PORT_040,Electronics,Multimodal,1821193.3760879892,11825.806278616275,181.4889282315889,Delivered,53.97954507957431,2048.063605628682,1144.4500333569056,66.756848093772,25.42762696117037,False,0.7425722345586857,0.529763424207303,0.6361678293829944
SHIP_000021,SUP_01104,PORT_087,PORT_175,Pharmaceuticals,Air,3080517.716580987,24026.241504961672,262.5030946272341,Delayed,28.161108171449435,19782.66381360233,2747.7194280209364,73.99043359950664,7.68535586024367,False,0.3736905423756802,0.16005167683960042,0.2668711096076403
SHIP_000022,SUP_01669,PORT_112,PORT_086,Food & Beverage,Air,3097820.043172365,39491.16933026836,444.7230964235856,In Transit,6.041680956640721,20531.51745714776,1225.3993147956603,96.00802664998083,47.77107905260482,True,0.05765856219992674,0.995354140748621,0.5265063514742739
SHIP_000023,SUP_01710,PORT_163,PORT_061,Pharmaceuticals,Rail,882340.1291338275,18990.8852851578,315.25569941271965,Delivered,5.837291380845644,45829.61552286464,374.5373918676339,83.78720887359248,2.910932024687813,True,0.0547383400016523,0.060562689839217566,0.057650514920434937
SHIP_000024,SUP_01600,PORT_178,PORT_014,Electronics,Multimodal,4702532.89308829,36184.9565014448,226.82705725632607,Delayed,31.956589455331365,46227.34264287572,448.265122422786,93.6213930051976,25.73475115263288,False,0.4279185951284282,0.5361632487189784,0.4820409219237033
SHIP_000025,SUP_01234,PORT_074,PORT_200,Textiles,Rail,2641061.66957737,38348.48940489462,466.8056917959897,Delayed,51.15002416942381,12320.275701530598,3056.9013931524382,90.2499537219956,27.917805012410664,False,0.7021453696358503,0.581653516143316,0.6418994428895831
SHIP_000026,SUP_01321,PORT_002,PORT_088,Automotive,Multimodal,1957171.195156552,26952.35062831204,186.48597768519537,Delivered,13.808899432897068,26536.14823760673,2330.285836841117,79.87252055443224,28.99625112828196,False,0.16863292928776907,0.6041260731047448,0.3863795011962569
SHIP_000027,SUP_01634,PORT_017,PORT_067,Automotive,Rail,678136.797665393,13773.264984997615,54.18225506222872,Delivered,57.90767879465521,11626.146285724208,245.17525330576743,65.84051671496462,3.0738018292465394,False,0.7986955629033294,0.06395655524090776,0.43132605907211863
SHIP_000028,SUP_01196,PORT_095,PORT_076,Electronics,Sea,2813813.039764136,39897.36348140029,473.221961305248,Delivered,67.36610977319582,15485.74331241896,4731.46187034737,76.25946095585789,23.50573241197731,False,0.9338331793739161,0.4897151695054843,0.7117741744397001
SHIP_000029,SUP_01113,PORT_080,PORT_175,Automotive,Rail,4513206.057133788,18982.184210867603,306.8066374506882,Delivered,37.21173208787548,20118.097397005724,4461.092237902634,91.5267742562502,37.01592391447443,True,0.5030016032072748,0.771239247186814,0.6371204251970444
SHIP_000030,SUP_01898,PORT_024,PORT_144,Textiles,Rail,2554111.5291815475,29533.56144541175,420.44773420427913,Lost,48.704941889171934,27830.649795402773,724.9075467276789,77.31871080065525,47.52462998347925,False,0.6672111831753927,0.9902186586299424,0.8287149209026676
SHIP_000031,SUP_00226,PORT_057,PORT_071,Automotive,Road,620863.4132512838,24684.882281256323,33.75359671738307,Damaged,11.980485169048158,15296.543272021288,4518.660327844853,93.36210340362383,26.668842638099783,False,0.14250940561899578,0.5556277577059492,0.34906858166247245
SHIP_000032,SUP_00143,PORT_071,PORT_018,Food & Beverage,Multimodal,1391248.8589188813,31339.3768485586,474.37648822697946,Delayed,56.88858691749466,9115.886410214258,1230.000059748082,78.11004969141489,26.16804771883163,True,0.7841352571236004,0.5451922411014359,0.6646637491125182
SHIP_000033,SUP_00708,PORT_083,PORT_173,Pharmaceuticals,Sea,4938135.716440081,42618.73928467498,489.9979979927449,Delivered,44.49767502966085,15180.629857267177,2257.723096083746,97.66033313091005,15.245333327396844,False,0.6070997316524103,0.3175857638537297,0.46234274775307
SHIP_000034,SUP_01715,PORT_144,PORT_023,Food & Beverage,Rail,2009721.8923451237,17791.970404812608,6.829559710334813,In Transit,49.32400758459696,41108.5615642224,2163.7305455927185,68.02617956681517,0.0669586122447576,False,0.6760561028780634,0.0013002440226449923,0.33867817345035417
SHIP_000035,SUP_00054,PORT_097,PORT_026,Pharmaceuticals,Sea,4925602.869751338,45820.75547637628,291.06172758065765,Delivered,55.54630277223512,30668.514568416693,1586.2344145390964,87.64183590105631,27.54708303344927,False,0.7649573321138203,0.5739284470216818,0.6694428895677511
SHIP_000036,SUP_00196,PORT_036,PORT_194,Food & Beverage,Multimodal,2730952.942540184,5526.596275198193,207.6509310936147,Delivered,38.76014541031284,8111.4784604069055,4604.845698644305,64.08730413935088,30.572803158561733,True,0.5251246050222939,0.6369781134447433,0.5810513592335186
SHIP_000037,SUP_01753,PORT_045,PORT_130,Automotive,Air,3552175.1460684384,13120.09436826666,255.62937290648293,Damaged,25.624916117745773,9275.91350546368,2487.4695004162804,67.00215195950028,38.68747225388002,True,0.33745462229266054,0.8060708115257753,0.5717627169092179
SHIP_000038,SUP_01513,PORT_010,PORT_150,Automotive,Road,1106436.7195731085,45986.45440928353,90.25665391537088,Delivered,70.20913237206972,10471.094461620369,442.73792757502696,73.66035900054793,16.29396699845196,True,0.9744529500795974,0.33943709194295874,0.656945021011278
SHIP_000039,SUP_00845,PORT_063,PORT_115,Textiles,Road,4936430.100168255,3296.7525871363428,383.9211585204814,Delivered,19.91086131228004,33014.94553716703,4761.694006637364,67.17693557776391,33.01943646374698,False,0.25581489277040886,0.687960824129443,0.471887858449926
SHIP_000040,SUP_00298,PORT_043,PORT_166,Food & Beverage,Multimodal,47932.97082273394,23180.20534720037,132.1378385903783,Delivered,3.4356973263051485,25653.32824012364,2980.154347293734,71.90941583189873,40.25458748834152,False,0.0204254928712067,0.8387262088175599,0.42957585084438327
SHIP_000041,SUP_01454,PORT_051,PORT_170,Pharmaceuticals,Road,4283968.197731042,13067.043384453553,313.88826108658554,Delayed,19.309565540146476,43484.93069314895,3370.31933915109,68.07462458599342,24.390688553379118,False,0.24722386138007268,0.508155800894797,0.3776898311374348
SHIP_000042,SUP_00537,PORT_107,PORT_156,Pharmaceuticals,Air,3444332.040033132,39442.57166006559,58.48236592660682,Damaged,63.00065635487084,10197.270137627957,3235.571374459256,71.93552044579393,9.403124352883198,False,0.8714616326444143,0.19584637230864743,0.5336540024765308
SHIP_000043,SUP_00579,PORT_003,PORT_063,Automotive,Sea,3297726.455151541,4450.581840055251,275.35470897581735,Delivered,26.102825727040745,10139.269376597593,2270.591123459986,96.51811785728302,40.721312685942,False,0.3442827701783976,0.8484517838222388,0.5963672770003182
SHIP_000044,SUP_01699,PORT_194,PORT_017,Automotive,Rail,1579837.5128409695,6429.381433230471,215.3571705685517,Delivered,60.740334399652816,13980.030866951742,1021.6065110407696,69.386438413181,34.05873545325318,True,0.8391672148728708,0.7096176370178311,0.774392425945351
SHIP_000045,SUP_00500,PORT_163,PORT_112,Automotive,Multimodal,934340.4070340212,7962.207216156919,56.29057343188311,Delivered,43.06460102535818,22319.657344357354,4474.441099710587,74.79942736345608,44.772674767007054,False,0.5866246438067829,0.9328736791753979,0.7597491614910904
SHIP_000046,SUP_00624,PORT_069,PORT_187,Food & Beverage,Multimodal,3120823.465970969,15849.759021498196,23.16118952934895,Damaged,39.16393917265427,28341.490881470505,1171.0101919476162,65.99330315910605,28.256090480287284,True,0.530893820520331,0.5887026763509532,0.5597982484356421
SHIP_000047,SUP_00841,PORT_079,PORT_115,Pharmaceuticals,Road,4576531.705601215,42890.04672580653,426.8524952544671,Delivered,49.543234851285526,23329.666923427983,3206.1989532264824,82.91709448949868,30.793923346412026,True,0.6791883190302845,0.6415857947592362,0.6603870568947603
SHIP_000048,SUP_00206,PORT_036,PORT_002,Food & Beverage,Rail,1256257.4833990126,43778.187836921614,270.84169728237686,Delivered,9.436418362930691,39584.94301518115,3555.9661168149987,66.61892686410896,21.058875366543365,False,0.10616097477452825,0.4387277965428929,0.2724443856587106
SHIP_000049,SUP_01942,PORT_049,PORT_099,Pharmaceuticals,Road,4032710.5273537617,10154.40762980289,337.70118405157234,Delivered,36.155453573134885,16322.64841033829,2066.16370537943,81.86091391649197,9.229650408802472,False,0.48790999222708226,0.19223153886235306,0.34007076554471766
SHIP_000050,SUP_00880,PORT_001,PORT_079,Pharmaceuticals,Road,446990.1374769741,26028.522736115865,342.1365928451412,Delivered,52.02510385069165,29775.38297862096,3103.091257768702,73.35107712036036,12.79083414045786,False,0.7146480968446947,0.2664391446777653,0.49054362076123
SHIP_000051,SUP_01161,PORT_170,PORT_108,Textiles,Sea,1218894.7075524896,33290.64656654413,142.01382982425014,Delivered,41.43556221990293,13399.32893499368,4564.164309565072,65.11017004259561,27.05338345042264,False,0.5633497029834286,0.5636407823547865,0.5634952426691076
SHIP_000052,SUP_00408,PORT_169,PORT_116,Automotive,Sea,280748.971527194,20675.67920455641,364.11369261681847,Delivered,70.02884517491518,25001.93619419209,3571.659143514775,89.3419167921391,28.68119413410844,False,0.9718770913395057,0.5975609456093012,0.7847190184744035
SHIP_000053,SUP_00279,PORT_073,PORT_109,Food & Beverage,Road,1914013.5476822848,47466.0157007895,20.154620139595156,Delayed,17.397619299716233,30011.48261568642,306.9757039607812,90.7642294924518,21.641275017978387,False,0.21990687208894727,0.45086378474719535,0.33538532841807134
SHIP_000054,SUP_01469,PORT_185,PORT_178,Food & Beverage,Air,3482815.723762413,27432.022204059635,38.59264842508041,Delivered,63.895494726551966,28995.473463319093,2116.5110329370364,92.65627819231088,34.272389446007594,False,0.8842466627355328,0.7140697384733881,0.7991582006044604
SHIP_000055,SUP_00677,PORT_116,PORT_143,Automotive,Multimodal,2481369.275935436,21806.61167905137,78.35325786862808,Delivered,8.596214855185378,3180.7765566936537,989.8978700446488,97.09894283463738,30.230293248905483,False,0.09415654194158421,0.6298409247235569,0.36199873333257054
SHIP_000056,SUP_00941,PORT_148,PORT_146,Food & Beverage,Air,2691556.722396164,31285.22099390852,270.61892839220286,Delivered,29.59256923432965,20852.657559684696,4449.993516065216,82.0251707208962,13.837128508172606,False,0.39414258527232693,0.2882417265878456,0.3411921559300862
SHIP_000057,SUP_00271,PORT_014,PORT_077,Textiles,Multimodal,2876922.696233957,41092.37100218125,429.3859872085048,Delivered,66.70004357484676,25646.529869001995,3202.588115625099,99.42864796465416,2.613199289832409,False,0.924316738575148,0.05435856360161279,0.4893376510883804
SHIP_000058,SUP_00441,PORT_122,PORT_038,Food & Beverage,Rail,1120589.6275484334,13069.651143992662,231.45598941180896,Delivered,14.966204331701826,46653.83575340802,3221.932791079057,66.03189489699368,43.99791460787665,False,0.1851679577622634,0.9167293011195345,0.550948629440899
