supplier_id,supplier_name,region,country,supplier_type,risk_level,financial_health_score,delivery_performance,quality_rating,contract_value_usd,sustainability_score,lead_time_days,capacity_utilization,years_in_partnership,compliance_violations,political_risk_index,financial_health_normalized,delivery_performance_normalized,political_risk_normalized,compliance_violations_normalized,supplier_risk_score
SUP_00001,Advanced Solutions,Latin America,Japan,Raw Material,Medium,77.61285686999676,83.59725698983375,4.396233848167047,14262803.483089205,44.86769244139146,18.18522057530138,82.40770216936933,14,0,4.525157638414533,0.31605918792030996,0.6415429555291885,0.4525850236593607,0.0,0.4094035665587527
SUP_00002,Strategic Group,Middle East,Norway,Component,High,41.39417323451661,78.58558532289054,3.6219460427660666,40970567.31316311,96.29251607706168,170.6617772626167,70.15865593248888,22,1,3.191877101238409,0.9755585708606165,0.8506420284388159,0.3191996770135927,0.125,0.72175597227861
SUP_00003,Elite Corp,Asia-Pacific,Norway,Service Provider,High,77.95257886251973,87.23964190352393,3.199327844153552,4040689.705178475,82.68981939547439,166.09366546693482,69.20363168160158,22,3,2.833589969623799,0.3098732523215718,0.48957384038219276,0.2833555677533225,0.375,0.3649925665939511
SUP_00004,Advanced Supply Co,Middle East,Netherlands,Service Provider,Medium,57.38557213508338,86.053981216672,3.544934368066192,42781523.43706308,72.7939436207248,124.77572067677978,84.45412123100567,22,4,8.608212607401725,0.6843741144231988,0.5390424741798547,0.8610659751368209,0.5,0.6576755830506003
SUP_00005,Advanced Partners,Middle East,China,Service Provider,Medium,43.06574694730929,96.61824389881758,4.663570600370319,4640209.799251458,61.41184712140841,86.88119242310437,80.91310109243715,10,3,4.216540068218385,0.9451211909927825,0.09827586383290354,0.4217100049114121,0.375,0.5293732365292665
SUP_00006,Innovative Solutions,Europe,Australia,Raw Material,High,73.53970188514643,97.32012906698574,4.960941595566142,41730988.033840224,33.38940245813211,21.250407765116226,60.30791211818851,15,0,3.3907634180391275,0.39022652172416905,0.0689915156739791,0.3390968551166729,0.0,0.24460743441519595
SUP_00007,Global Industries,Asia-Pacific,Singapore,Component,Medium,53.24420988402453,84.20561738417501,3.987694029483123,18071380.6338824,98.27653377474272,143.38092075105834,93.20261488783116,6,3,6.035105414260137,0.7597834218567262,0.6161606873150216,0.6036446858102432,0.375,0.6469905120992456
SUP_00008,Elite Group,Asia-Pacific,India,Distributor,Low,61.2743983128534,86.80171063245575,3.019400709846084,30629842.70969793,50.0032558592168,18.208635024205066,88.16489416929738,9,3,2.1940157963738125,0.6135631901385553,0.5078453930424538,0.21937066703219188,0.375,0.47915302737459664
SUP_00009,Prime Partners,Asia-Pacific,Brazil,Distributor,High,44.431944675758245,96.5096699795072,3.280089624268458,7686711.426617509,28.554048195779583,17.00517235665049,86.47317158712414,10,0,2.298934905680789,0.9202443465454625,0.10280583055432979,0.22986708648365772,0.0,0.4449129050812155
SUP_00010,Global Supply Co,Middle East,China,Raw Material,Medium,48.09397881022199,94.36098738588149,3.644161150632532,3355127.650172783,59.503911657259685,99.04217242688942,62.75122630790636,23,3,5.202887308715046,0.8535630370784526,0.19245406933814113,0.5203871136805807,0.375,0.5407388583689395
SUP_00011,Elite Supply Co,Latin America,Italy,Service Provider,Low,56.3887479522714,75.08775147227158,4.157170697185899,10836113.290805748,89.91984092904666,33.02244203231204,74.48223400689966,17,4,4.092727286461841,0.7025251035668373,0.9965801233424747,0.4093234063274774,0.5,0.7118487596949729
SUP_00012,Innovative Group,Asia-Pacific,Brazil,Manufacturer,Medium,44.93677253080864,82.68142954040599,3.150187291610628,6436298.204539343,90.98328014218636,6.352796784561072,97.41529042931144,1,1,2.9498238392232445,0.9110520285074135,0.6797534935186684,0.2949839494450992,0.125,0.6398436493475858
SUP_00013,Superior Partners,Africa,Japan,Raw Material,Low,90.09544455774731,85.12258180646702,4.886714597419763,15654674.589097608,20.87727328451578,79.04485042426259,94.50356965365457,14,3,0.539511322741022,0.08876603280670559,0.577902712065554,0.0538491232992457,0.375,0.25714705140219757
SUP_00014,Strategic Solutions,Middle East,Sweden,Raw Material,Low,40.33258737511881,80.51319080839757,3.7301673465688014,25743443.163225457,90.90365958011198,29.01301553176154,71.42171751478134,4,2,5.207742386385216,0.9948887935229652,0.7702176617322731,0.5208728300770709,0.25,0.7581953819442823
SUP_00015,Premier Enterprises,Europe,South Africa,Component,High,66.61231203753712,79.78971878150253,4.825168435849646,29458535.205072224,41.71873739998868,33.09019767412097,66.28235536396555,2,1,8.16609205601075,0.5163660958695372,0.8004026658891936,0.8168349214596959,0.125,0.6225342224065121
SUP_00016,Dynamic Systems,Latin America,Poland,Distributor,Low,46.77861019729033,75.9068281582963,4.561043605514044,39503911.96361816,23.117789117473848,18.459361778683565,77.96351828674308,3,5,8.51377205286058,0.8775143434621469,0.9624062613915139,0.8516178614400819,0.625,0.8725511880903293
SUP_00017,Premier Group,Africa,Singapore,Raw Material,Medium,56.92234992128717,90.44087340167424,4.510874545031163,32829182.667755514,87.82322162902994,40.89140690163174,74.23321514670644,7,1,2.354399797260802,0.6928088429527463,0.3560107135621551,0.2354159590455713,0.125,0.44350994305885927
