Route,transportation_mode,avg_cost,avg_carbon,on_time_percent,shipment_count
PORT_001 -> PORT_003,Road,36214.16,129.87,100.0,1
PORT_001 -> PORT_007,Rail,4867.43,4148.92,100.0,1
PORT_001 -> PORT_011,Road,41151.78,1917.9,100.0,1
PORT_001 -> PORT_011,Sea,49979.34,3117.48,100.0,1
PORT_001 -> PORT_016,Sea,45315.01,2145.59,100.0,1
PORT_001 -> PORT_019,Multimodal,46746.55,4828.92,100.0,1
PORT_001 -> PORT_019,Sea,4336.02,496.09,100.0,1
PORT_001 -> PORT_020,Sea,3159.74,4510.37,100.0,1
PORT_001 -> PORT_022,Road,36754.45,1239.88,0.0,1
PORT_001 -> PORT_023,Air,991.31,1965.63,100.0,1
PORT_001 -> PORT_035,Sea,46891.2,3302.21,100.0,1
PORT_001 -> PORT_036,Multimodal,30512.13,2753.24,100.0,1
PORT_001 -> PORT_036,Sea,28588.08,4499.89,100.0,1
PORT_001 -> PORT_037,Multimodal,49145.79,1056.69,100.0,1
PORT_001 -> PORT_037,Road,31009.7,1159.14,100.0,1
PORT_001 -> PORT_042,Air,9618.39,1386.28,100.0,1
PORT_001 -> PORT_044,Multimodal,28742.43,4224.92,100.0,1
PORT_001 -> PORT_046,Road,49261.22,1872.34,100.0,1
PORT_001 -> PORT_049,Rail,8513.53,310.64,100.0,1
PORT_001 -> PORT_056,Road,44191.81,134.54,100.0,1
PORT_001 -> PORT_057,Air,17810.21,544.1,50.0,2
PORT_001 -> PORT_058,Multimodal,6648.97,597.64,100.0,1
PORT_001 -> PORT_060,Sea,5228.26,2253.47,100.0,1
PORT_001 -> PORT_068,Multimodal,32619.63,4736.9,100.0,1
PORT_001 -> PORT_075,Multimodal,49985.27,4141.91,100.0,1
PORT_001 -> PORT_077,Air,10594.76,3001.67,100.0,1
PORT_001 -> PORT_078,Rail,28685.46,3742.16,0.0,1
PORT_001 -> PORT_079,Road,29775.38,3103.09,100.0,1
PORT_001 -> PORT_087,Multimodal,23076.15,4409.8,100.0,1
PORT_001 -> PORT_090,Air,3878.6,1225.92,100.0,1
PORT_001 -> PORT_090,Road,2272.21,4675.52,100.0,1
PORT_001 -> PORT_092,Multimodal,37219.53,202.86,100.0,1
PORT_001 -> PORT_092,Rail,24702.32,620.5,100.0,1
PORT_001 -> PORT_093,Air,8103.68,1582.26,100.0,1
PORT_001 -> PORT_093,Sea,33299.55,4627.32,100.0,2
PORT_001 -> PORT_094,Multimodal,48413.3,2912.94,100.0,1
PORT_001 -> PORT_098,Air,3322.25,3760.09,100.0,1
PORT_001 -> PORT_098,Road,26830.06,3170.95,100.0,1
PORT_001 -> PORT_098,Sea,969.02,1695.15,100.0,1
PORT_001 -> PORT_099,Rail,42167.66,1055.75,100.0,1
PORT_001 -> PORT_101,Road,37655.15,234.1,100.0,1
PORT_001 -> PORT_109,Air,19580.02,184.84,100.0,1
PORT_001 -> PORT_110,Rail,21304.19,231.48,100.0,1
PORT_001 -> PORT_111,Rail,49386.81,1215.15,100.0,1
PORT_001 -> PORT_112,Sea,20169.96,2072.82,100.0,1
PORT_001 -> PORT_114,Road,27501.74,2614.24,100.0,1
PORT_001 -> PORT_117,Road,22309.72,4690.01,100.0,2
PORT_001 -> PORT_118,Sea,30811.07,2326.48,0.0,1
PORT_001 -> PORT_119,Sea,27963.48,3200.31,100.0,1
PORT_001 -> PORT_120,Air,18669.06,290.44,100.0,1
PORT_001 -> PORT_125,Rail,26872.19,3184.82,100.0,1
PORT_001 -> PORT_127,Sea,29829.95,204.21,100.0,1
PORT_001 -> PORT_131,Air,24240.27,4042.92,0.0,1
PORT_001 -> PORT_131,Sea,15476.05,3607.82,100.0,1
PORT_001 -> PORT_133,Multimodal,26012.53,2581.81,100.0,2
PORT_001 -> PORT_135,Air,40343.18,2960.98,0.0,1
PORT_001 -> PORT_135,Multimodal,12686.05,439.97,0.0,1
PORT_001 -> PORT_135,Rail,7707.94,1262.53,100.0,1
PORT_001 -> PORT_141,Sea,40163.95,388.71,100.0,1
PORT_001 -> PORT_144,Sea,37798.32,2557.91,100.0,1
PORT_001 -> PORT_145,Multimodal,41354.96,3873.12,0.0,1
PORT_001 -> PORT_147,Air,30810.33,4572.43,100.0,1
PORT_001 -> PORT_147,Rail,28504.2,1461.31,100.0,1
PORT_001 -> PORT_150,Road,7383.71,1494.37,100.0,1
PORT_001 -> PORT_152,Air,36899.15,4937.9,100.0,1
PORT_001 -> PORT_152,Multimodal,37662.99,2664.08,0.0,1
PORT_001 -> PORT_153,Multimodal,45009.24,2902.23,100.0,1
PORT_001 -> PORT_155,Road,44363.79,1556.73,100.0,1
PORT_001 -> PORT_156,Rail,32695.79,355.86,0.0,1
PORT_001 -> PORT_159,Road,1546.52,463.92,0.0,1
PORT_001 -> PORT_161,Road,15652.32,1464.51,100.0,1
PORT_001 -> PORT_162,Multimodal,4490.1,636.14,100.0,1
PORT_001 -> PORT_163,Rail,17453.0,819.54,0.0,1
PORT_001 -> PORT_163,Sea,18657.09,1199.79,100.0,1
PORT_001 -> PORT_164,Air,21623.87,2343.82,100.0,1
PORT_001 -> PORT_164,Multimodal,33891.1,4608.37,100.0,1
PORT_001 -> PORT_164,Rail,29212.05,1309.64,100.0,1
PORT_001 -> PORT_166,Multimodal,7723.42,2166.36,100.0,1
PORT_001 -> PORT_167,Road,20699.31,2839.57,100.0,1
PORT_001 -> PORT_172,Multimodal,31943.18,2028.61,100.0,1
PORT_001 -> PORT_173,Sea,4140.4,3966.12,100.0,1
PORT_001 -> PORT_174,Road,28868.11,4548.04,100.0,2
PORT_001 -> PORT_176,Multimodal,8822.72,4002.95,100.0,1
PORT_001 -> PORT_176,Sea,48156.89,2179.64,100.0,1
PORT_001 -> PORT_178,Sea,44189.06,4798.41,100.0,1
PORT_001 -> PORT_179,Rail,15110.74,2992.67,50.0,2
PORT_001 -> PORT_180,Sea,30855.64,4589.57,100.0,1
PORT_001 -> PORT_186,Road,28807.91,4969.71,100.0,1
PORT_001 -> PORT_187,Road,38784.26,4941.8,100.0,1
PORT_001 -> PORT_187,Sea,36414.0,92.72,0.0,1
PORT_001 -> PORT_191,Air,4772.3,3656.69,100.0,1
PORT_001 -> PORT_197,Rail,1428.81,1993.29,100.0,1
PORT_002 -> PORT_001,Road,33632.83,1682.39,100.0,1
PORT_002 -> PORT_002,Sea,25331.27,3953.89,100.0,1
PORT_002 -> PORT_003,Multimodal,12308.96,1028.12,0.0,1
